num,fit
0,-0.249127909
0,-0.210784945
0,-0.248687697
0,-0.251495738
1,-0.23486271
0,-0.276170469
0,-0.232690989
0,-0.271494476
0,-0.195482876
0,-0.242257685
0,-0.240740474
0,-0.274930903
0,-0.205941269
1,-0.202218009
0,-0.23361044
0,-0.218999371
0,-0.225420904
0,-0.248216515
0,-0.229669932
1,-0.205569959
0,-0.257563058
0,-0.237717976
0,-0.250379622
0,-0.230181219
0,-0.253843771
0,-0.241857901
0,-0.217135376
0,-0.228737684
0,-0.25589625
0,-0.230144437
0,-0.253408067
0,-0.251087667
0,-0.21121115
1,-0.27152419
0,-0.274050983
0,-0.258395433
0,-0.253445295
1,-0.221062817
0,-0.247451086
0,-0.256380313
0,-0.224349486
0,-0.281900313
0,-0.219177256
0,-0.220380479
0,-0.278768361
0,-0.207555763
1,-0.278914901
0,-0.250025254
0,-0.285873746
0,-0.239529231
0,-0.26535003
2,-0.246788675
0,-0.274604954
0,-0.289330835
0,-0.214823956
0,-0.269163972
0,-0.201551067
0,-0.254110966
0,-0.261072177
0,-0.252609403
0,-0.207887091
0,-0.253894587
0,-0.223635869
0,-0.278928445
0,-0.193072605
0,-0.234256781
0,-0.223749089
0,-0.246884601
0,-0.254423057
0,-0.221750228
0,-0.24687884
0,-0.319094553
0,-0.241094876
0,-0.217162508
0,-0.239030969
0,-0.258057451
11,-0.192251506
0,-0.270036135
0,-0.255236342
0,-0.274042872
0,-0.230965446
0,-0.234002187
0,-0.243548019
0,-0.298835191
0,-0.203942637
0,-0.2572262
0,-0.269387409
0,-0.2125053
0,-0.248810434
0,-0.194895222
0,-0.225314713
0,-0.218974804
0,-0.242603663
0,-0.290865913
0,-0.263384467
0,-0.236153627
0,-0.252539145
0,-0.26099727
0,-0.232935774
0,-0.225258157
1,-0.185364902
1,-0.212341412
0,-0.236858655
1,-0.222284851
0,-0.229895652
1,-0.217861236
0,-0.223279096
0,-0.229748183
0,-0.251751019
0,-0.239826029
0,-0.23483701
1,-0.25491606
0,-0.276958132
