num,fit
0,-0.533439147
0,-0.466263889
0,-0.481125745
0,-0.554799971
0,-0.55550925
0,-0.597241208
0,-0.521513373
0,-0.514569044
0,-0.56686592
0,-0.489971096
0,-0.523566982
0,-0.534903055
0,-0.467777269
0,-0.492202033
0,-0.547459765
0,-0.457002033
0,-0.481505126
0,-0.484437063
0,-0.512280375
0,-0.487138116
0,-0.585059765
0,-0.500783455
0,-0.504449456
0,-0.500233475
0,-0.449703064
0,-0.507583477
0,-0.548280362
0,-0.529323683
0,-0.490461827
0,-0.437045855
0,-0.559125723
0,-0.531068003
0,-0.5049979
0,-0.508387591
0,-0.423580359
1,-0.554230899
0,-0.558288631
0,-0.44854428
0,-0.43996696
0,-0.616441208
0,-0.543158713
0,-0.455618497
0,-0.536152549
1,-0.467629843
0,-0.579385538
0,-0.456144301
0,-0.551789662
0,-0.495756672
0,-0.473546363
0,-0.511451518
0,-0.496342239
0,-0.459327806
1,-0.531530874
0,-0.531224692
0,-0.474090693
0,-0.615047394
0,-0.444770573
0,-0.574841208
0,-0.518153555
0,-0.50536492
0,-0.417174696
0,-0.556230878
0,-0.480952549
1,-0.460420568
0,-0.438960775
0,-0.402346363
0,-0.627566982
0,-0.497195826
0,-0.509257703
0,-0.479266957
0,-0.564289637
0,-0.468626754
0,-0.54216492
0,-0.526915435
0,-0.482581405
0,-0.523501002
0,-0.465092755
0,-0.432783455
0,-0.494218507
0,-0.659979353
0,-0.548317497
0,-0.494152527
0,-0.514061806
0,-0.552771105
0,-0.449686569
0,-0.511855641
0,-0.516837085
0,-0.507608219
0,-0.540993786
0,-0.496299454
0,-0.523377291
0,-0.464362849
0,-0.501369022
0,-0.580597909
0,-0.471674198
0,-0.490482424
0,-0.558780359
0,-0.597921599
0,-0.51303089
0,-0.491624714
0,-0.519014404
1,-0.450742239
0,-0.514994792
0,-0.55277522
0,-0.524911312
0,-0.437999971
0,-0.519426775
0,-0.451402033
0,-0.537657682
0,-0.510923683
0,-0.502622643
0,-0.562618528
0,-0.457938094
0,-0.544891699
0,-0.545257703
0,-0.522284486
0,-0.498148425
0,-0.533612342
0,-0.571525745
0,-0.532804095
0,-0.520202033
0,-0.440639147
0,-0.450692755
0,-0.409278313
0,-0.45045358
0,-0.524259765
7,-0.45110924
0,-0.456061827
0,-0.41947626
0,-0.549797888
0,-0.57922059
0,-0.495197878
0,-0.538362858
0,-0.567278322
0,-0.564457703
1,-0.468718503
0,-0.508540178
0,-0.550193764
0,-0.482350478
0,-0.475517497
0,-0.514028816
0,-0.460812342
0,-0.512136023
0,-0.525657694
0,-0.483228837
0,-0.55308861
1,-0.469320565
0,-0.534659765
0,-0.497818528
0,-0.494305126
0,-0.516696879
0,-0.500849447
1,-0.438775229
0,-0.542948425
