num,fit
0,-0.244004099
0,-0.251551417
0,-0.208902966
0,-0.229236264
0,-0.236776303
0,-0.248855031
0,-0.242951341
0,-0.261161669
0,-0.259274142
0,-0.253394443
0,-0.207514455
0,-0.235222697
0,-0.228181833
0,-0.263583884
0,-0.208791478
0,-0.22330733
0,-0.285029153
0,-0.209561696
0,-0.273103346
0,-0.252884219
0,-0.247952638
0,-0.212500177
0,-0.258032401
0,-0.282425472
0,-0.238654132
0,-0.223828535
0,-0.312766209
0,-0.250130912
0,-0.234793251
0,-0.253754427
0,-0.231374857
0,-0.252678532
0,-0.280132923
0,-0.252293147
0,-0.24379994
0,-0.221547874
0,-0.253974733
0,-0.251435223
0,-0.238359791
0,-0.356319145
0,-0.218578834
0,-0.246390548
0,-0.260764251
0,-0.233558065
0,-0.237847813
0,-0.192951835
0,-0.292102695
0,-0.263638684
0,-0.234562174
0,-0.238164729
0,-0.20829871
1,-0.282726635
0,-0.197947729
0,-0.225118563
0,-0.284345381
0,-0.228453486
1,-0.192524696
0,-0.247017855
0,-0.199662938
2,-0.225546756
0,-0.242051941
0,-0.261856872
0,-0.207704021
0,-0.250248402
0,-0.248471725
0,-0.23552119
0,-0.208381869
0,-0.223394268
0,-0.256927009
0,-0.266209293
0,-0.194468339
0,-0.24465797
0,-0.238552087
0,-0.235326276
0,-0.230197297
0,-0.226259555
0,-0.254260515
0,-0.238342132
1,-0.22826135
0,-0.173493102
0,-0.248594671
0,-0.22152189
0,-0.228684374
0,-0.20247598
0,-0.271571355
0,-0.22017445
0,-0.24022215
0,-0.24514969
0,-0.262766389
0,-0.268333778
0,-0.202580918
0,-0.282028176
0,-0.236387193
1,-0.303291595
0,-0.242656826
0,-0.237736644
0,-0.255548921
0,-0.254643602
0,-0.221507985
0,-0.188737868
1,-0.254035303
0,-0.210977063
0,-0.228905357
0,-0.254536567
0,-0.246460024
0,-0.231658496
0,-0.247447705
0,-0.244651128
0,-0.251412208
0,-0.229640309
0,-0.255123981
0,-0.234705473
0,-0.204606528
0,-0.255905845
0,-0.272946392
0,-0.228824077
0,-0.252202862
0,-0.184947766
0,-0.220807693
0,-0.272776636
0,-0.241496001
0,-0.246174358
0,-0.224488843
0,-0.207458513
0,-0.238446202
0,-0.249874418
0,-0.215389443
0,-0.185269833
0,-0.232153873
0,-0.235191056
0,-0.241639758
0,-0.285931766
0,-0.264618907
0,-0.204766221
0,-0.260999741
0,-0.300724578
0,-0.236521048
0,-0.259542207
0,-0.242650586
0,-0.222909452
0,-0.235856893
0,-0.237354092
0,-0.243869645
0,-0.280324219
2,-0.232519292
0,-0.230007502
0,-0.232805015
0,-0.20104959
0,-0.23540379
0,-0.257519051
0,-0.255813061
1,-0.264420802
0,-0.19851269
0,-0.24240218
0,-0.257031459
0,-0.216669796
0,-0.252810246
0,-0.232967343
0,-0.22597395
1,-0.226256854
0,-0.248742141
0,-0.206402466
0,-0.277876709
0,-0.24087578
0,-0.198338161
0,-0.307852087
1,-0.247905765
0,-0.262886412
0,-0.205800408
0,-0.246179844
0,-0.259460378
0,-0.25154803
0,-0.28846411
0,-0.235415691
0,-0.257542912
0,-0.244114031
0,-0.244804669
0,-0.266831713
0,-0.265269984
0,-0.212159622
0,-0.190505745
0,-0.226785007
0,-0.246749282
0,-0.266809428
0,-0.218648273
0,-0.22359375
1,-0.204253832
0,-0.256192914
0,-0.202140485
0,-0.232764758
2,-0.272576926
0,-0.26805268
0,-0.236643482
0,-0.259195697
0,-0.247677636
0,-0.211430253
0,-0.245358737
0,-0.195529674
0,-0.271273136
0,-0.226884808
0,-0.254329348
0,-0.262417465
0,-0.231632071
0,-0.200393555
1,-0.283615963
0,-0.225950171
0,-0.245638251
0,-0.260035265
0,-0.211064321
0,-0.204137281
0,-0.214920181
0,-0.258252462
2,-0.254989866
0,-0.241372777
1,-0.224003061
0,-0.201911541
0,-0.269422768
0,-0.234122644
0,-0.260133546
0,-0.233736262
0,-0.246672706
0,-0.237829337
0,-0.341249937
0,-0.218689385
0,-0.224103272
0,-0.240406051
0,-0.203055934
0,-0.25336188
0,-0.256443145
0,-0.266269637
0,-0.256968127
0,-0.300696492
1,-0.279979208
0,-0.244971881
0,-0.24861479
0,-0.227514104
0,-0.18725566
0,-0.194235675
0,-0.23707981
0,-0.231841085
0,-0.22736502
0,-0.265861936
0,-0.235852437
0,-0.237619755
0,-0.295700677
0,-0.225215582
0,-0.228312868
0,-0.188075765
3,-0.26214587
0,-0.207428044
0,-0.219962837
0,-0.228682028
0,-0.266977223
0,-0.216074325
0,-0.209753939
0,-0.246994486
0,-0.250489325
0,-0.227613799
0,-0.234910414
0,-0.199724314
0,-0.216791196
0,-0.209904231
1,-0.234076223
0,-0.220357937
0,-0.282910321
0,-0.229320864
0,-0.257861521
0,-0.240004029
0,-0.222899525
0,-0.271607314
0,-0.304535535
0,-0.194352446
0,-0.233096939
0,-0.232893346
0,-0.204962839
0,-0.23676346
0,-0.243621701
0,-0.218654467
0,-0.21522151
0,-0.259909586
0,-0.275412016
0,-0.219301935
0,-0.279885225
0,-0.240622943
0,-0.24049258
0,-0.255744804
0,-0.214407619
0,-0.254117216
0,-0.248424986
0,-0.201744119
0,-0.22707117
0,-0.169052203
0,-0.260326796
0,-0.295860211
1,-0.208977281
0,-0.248609968
0,-0.254747094
0,-0.221957403
0,-0.237128656
0,-0.24149847
0,-0.237374593
0,-0.255621346
0,-0.244731792
0,-0.254653131
0,-0.27758522
0,-0.262042341
0,-0.204749903
0,-0.200798621
0,-0.262056196
0,-0.198256195
0,-0.232235637
0,-0.215498561
0,-0.216905091
0,-0.288535655
0,-0.212795367
0,-0.229236217
0,-0.239330331
0,-0.218400282
0,-0.221532204
1,-0.288235244
0,-0.203906301
0,-0.227930987
0,-0.225093382
0,-0.239741137
0,-0.266035411
0,-0.260417208
0,-0.217139159
1,-0.233771624
0,-0.258269424
0,-0.231488261
0,-0.254609435
0,-0.25365515
0,-0.197927757
0,-0.262660922
0,-0.232321058
0,-0.269179342
0,-0.214716739
0,-0.253322516
0,-0.216729427
0,-0.237560076
0,-0.236549185
0,-0.266992439
0,-0.191584365
0,-0.283946965
0,-0.172850855
0,-0.24615881
0,-0.261826907
0,-0.255761912
0,-0.229494414
0,-0.270934576
0,-0.234946848
0,-0.226166426
0,-0.254889114
0,-0.218201098
0,-0.254676681
0,-0.247684414
0,-0.249275117
0,-0.177203597
0,-0.250771617
0,-0.214675165
0,-0.178172809
0,-0.233934744
0,-0.225551154
0,-0.316943365
0,-0.231164266
0,-0.184310736
1,-0.255997587
0,-0.239839452
0,-0.199560995
1,-0.272460435
1,-0.213289809
0,-0.24589133
0,-0.328618817
0,-0.19722184
0,-0.221785883
0,-0.25093673
0,-0.262486626
0,-0.222038576
0,-0.239866517
0,-0.226796526
0,-0.272092004
0,-0.221690085
0,-0.216092473
0,-0.269314011
0,-0.232482026
0,-0.27616836
0,-0.209791506
0,-0.271920005
0,-0.257610742
0,-0.306812711
0,-0.225180797
0,-0.287127409
0,-0.275054695
0,-0.19149474
0,-0.260396924
0,-0.253808791
0,-0.234411237
0,-0.233991031
0,-0.285855549
0,-0.226236943
0,-0.247108198
0,-0.275623439
0,-0.191661704
0,-0.2360988
0,-0.156427868
0,-0.217188954
0,-0.224076706
0,-0.254938589
0,-0.242287286
0,-0.204248865
0,-0.227512942
0,-0.221860373
0,-0.224653596
1,-0.284079067
0,-0.237872009
0,-0.203364396
0,-0.263693469
1,-0.242488161
0,-0.217676758
1,-0.236296198
0,-0.237912711
0,-0.302368222
0,-0.242147688
0,-0.251670869
0,-0.228575006
1,-0.24303985
0,-0.235175225
0,-0.273942493
0,-0.207694844
0,-0.27676192
0,-0.207267111
0,-0.222500328
0,-0.27334095
0,-0.248758384
0,-0.259111658
0,-0.20758726
0,-0.223892
0,-0.207610972
0,-0.252731904
0,-0.251703186
0,-0.265961707
0,-0.239876869
0,-0.250503776
0,-0.239725269
0,-0.210149158
0,-0.250924744
0,-0.295351417
0,-0.272613969
0,-0.245941921
0,-0.239367412
0,-0.25894668
0,-0.251940877
0,-0.22352534
0,-0.224474675
0,-0.269891872
0,-0.288788255
0,-0.226857392
0,-0.273983826
0,-0.231958409
0,-0.257133974
0,-0.222700236
0,-0.217263905
0,-0.221575244
0,-0.201697605
0,-0.201068856
0,-0.230411334
0,-0.213641868
0,-0.236837836
0,-0.232123245
1,-0.209326014
0,-0.223187219
0,-0.209147686
0,-0.258761228
0,-0.257715588
0,-0.2274755
0,-0.239034909
0,-0.275306814
0,-0.241587607
0,-0.211802711
0,-0.26968765
0,-0.221064252
0,-0.245201348
0,-0.255037782
1,-0.280493578
0,-0.231163868
0,-0.279774763
0,-0.239701745
0,-0.250136599
0,-0.230403525
0,-0.225149477
0,-0.290140133
0,-0.232719904
0,-0.229574553
0,-0.290305975
1,-0.239193022
0,-0.311480662
0,-0.269783955
0,-0.235934306
0,-0.213807685
0,-0.221966354
0,-0.217289028
0,-0.254753772
0,-0.217544705
0,-0.24362566
0,-0.228163125
0,-0.227795319
0,-0.245917823
0,-0.241579732
0,-0.337937178
0,-0.201818142
0,-0.220157848
0,-0.244441001
0,-0.255346199
1,-0.23006736
0,-0.207271812
0,-0.230163194
0,-0.206529462
0,-0.212373138
0,-0.253979846
0,-0.226379141
0,-0.233591215
0,-0.220340559
0,-0.172174697
0,-0.267571686
0,-0.267779322
0,-0.253559283
0,-0.251392724
0,-0.252817117
0,-0.266042425
0,-0.222777528
1,-0.233045635
0,-0.255046529
0,-0.322743183
0,-0.235997835
0,-0.218721308
0,-0.212895132
0,-0.213464924
0,-0.237657503
0,-0.245133356
0,-0.254570258
1,-0.24875156
0,-0.244730537
0,-0.270383354
0,-0.269491518
0,-0.213588937
0,-0.209494076
0,-0.225640916
0,-0.219775496
0,-0.254941684
0,-0.281878265
0,-0.248690159
1,-0.219117872
0,-0.253640806
0,-0.261928514
0,-0.245644636
0,-0.263113692
0,-0.25104999
0,-0.207331919
0,-0.215438052
0,-0.217320669
0,-0.261857153
0,-0.236314944
0,-0.240587183
0,-0.23066954
0,-0.259672241
0,-0.223847919
3,-0.257518162
0,-0.264150006
0,-0.322773066
0,-0.238289451
0,-0.260368326
0,-0.248561922
0,-0.259980111
0,-0.273442965
0,-0.279220084
0,-0.217550909
0,-0.238622118
0,-0.248800948
0,-0.240892313
0,-0.250350387
0,-0.26070875
0,-0.227159097
0,-0.212266979
0,-0.222088529
0,-0.215999626
