num,fit
0,-0.256609299
0,-0.214950424
0,-0.21333541
0,-0.261119332
0,-0.295785447
0,-0.299427504
1,-0.278339648
0,-0.316342546
0,-0.288543464
0,-0.242034408
0,-0.323526349
0,-0.225476661
0,-0.266782143
0,-0.257805178
0,-0.338141225
0,-0.26084638
0,-0.280929816
0,-0.34024823
0,-0.291847472
0,-0.265672108
0,-0.265774705
0,-0.28586071
0,-0.255787549
0,-0.273968647
0,-0.233039292
1,-0.247137075
0,-0.282069976
0,-0.218906582
0,-0.22923163
0,-0.227337888
0,-0.290100884
0,-0.21219439
0,-0.258193083
1,-0.246211573
1,-0.291003252
0,-0.312087514
0,-0.224568208
0,-0.21573689
0,-0.224843639
0,-0.266709115
0,-0.251458917
0,-0.232143158
0,-0.264743881
0,-0.294389125
0,-0.2105364
0,-0.258802447
0,-0.283198876
0,-0.299561148
0,-0.246915575
1,-0.293732705
0,-0.283887783
2,-0.263134611
0,-0.31074675
0,-0.273817416
0,-0.263226458
0,-0.28571139
6,-0.25698556
20,-0.251545501
0,-0.319945819
1,-0.249520028
0,-0.338816204
0,-0.243074563
2,-0.279882047
0,-0.287739678
0,-0.256407675
0,-0.234524456
0,-0.315701148
0,-0.210194543
0,-0.259673215
2,-0.214165979
0,-0.258462495
2,-0.291201366
0,-0.272150361
0,-0.212437796
0,-0.24862338
0,-0.302880292
0,-0.210585816
0,-0.268203837
0,-0.240936357
0,-0.291047129
0,-0.272243265
0,-0.24781982
0,-0.295086687
0,-0.253286184
0,-0.243179874
4,-0.269108301
0,-0.286603897
0,-0.258185814
0,-0.276685919
0,-0.275034932
0,-0.324085503
0,-0.252919905
0,-0.268038812
0,-0.316168401
1,-0.249350763
0,-0.263837235
0,-0.234402992
0,-0.291188425
0,-0.311393173
0,-0.265798847
0,-0.266758625
0,-0.26250839
0,-0.267810327
0,-0.284466991
0,-0.250713978
1,-0.276857103
0,-0.277435798
0,-0.335930597
0,-0.306686866
0,-0.276097372
1,-0.295036787
0,-0.275011074
0,-0.24871103
0,-0.259527445
0,-0.245022536
0,-0.295800017
0,-0.253824719
0,-0.244282563
2,-0.262176619
0,-0.321670352
0,-0.257616853
0,-0.274243931
0,-0.270140031
1,-0.273913966
0,-0.23697077
0,-0.295870604
0,-0.294040891
0,-0.269671938
0,-0.306192299
0,-0.257680186
0,-0.276930828
0,-0.236539297
0,-0.262577239
0,-0.296916165
0,-0.26255392
0,-0.225914105
0,-0.283904513
0,-0.241487378
0,-0.288414001
0,-0.246340224
0,-0.25906988
0,-0.355296244
0,-0.24968349
0,-0.268744953
0,-0.258614592
0,-0.233547057
2,-0.200493221
0,-0.263384603
0,-0.27959644
0,-0.229934583
0,-0.221553078
1,-0.202511452
1,-0.254478661
0,-0.321422437
0,-0.270399259
0,-0.289013037
0,-0.311319344
0,-0.207265756
0,-0.294245432
0,-0.228622108
0,-0.239539133
0,-0.253294924
0,-0.259024486
0,-0.289447733
0,-0.231668979
0,-0.243881457
2,-0.238165319
0,-0.234202928
0,-0.283428708
0,-0.264674062
0,-0.259417157
0,-0.236071257
0,-0.258313712
0,-0.230377331
0,-0.241207172
0,-0.231377882
0,-0.299290488
0,-0.29903613
0,-0.313140707
0,-0.26455935
0,-0.247086758
0,-0.261712385
0,-0.265736357
0,-0.313797593
0,-0.252561183
0,-0.260627717
0,-0.313992027
0,-0.275642455
0,-0.295888977
0,-0.266967955
0,-0.240631947
0,-0.245290558
0,-0.262789387
0,-0.26224459
0,-0.285656135
0,-0.263796209
0,-0.226868759
5,-0.279564909
0,-0.266643574
0,-0.272804616
2,-0.25975245
0,-0.269562583
0,-0.310154284
1,-0.220566063
0,-0.26590108
0,-0.31350195
0,-0.235363825
0,-0.226149029
0,-0.275943084
0,-0.284576703
0,-0.27062772
1,-0.26955442
1,-0.240524773
0,-0.274298516
0,-0.235931703
0,-0.254926786
0,-0.252098045
0,-0.248457657
3,-0.213130021
0,-0.237878339
0,-0.27197277
0,-0.317254408
1,-0.286287613
0,-0.279922349
0,-0.262206678
1,-0.2811431
0,-0.256688286
0,-0.261523161
0,-0.211631369
1,-0.251544803
0,-0.279788843
0,-0.300103861
0,-0.244198558
0,-0.349378666
1,-0.299256601
0,-0.233912124
0,-0.270376186
0,-0.2913282
0,-0.275082111
0,-0.252705266
0,-0.252536829
0,-0.259667918
1,-0.272171381
0,-0.289393393
0,-0.249539758
0,-0.242753516
0,-0.241971432
0,-0.218333901
0,-0.279251817
0,-0.313040805
0,-0.225231666
0,-0.300599713
0,-0.25793472
2,-0.225451424
0,-0.266290095
0,-0.202845925
0,-0.318990391
0,-0.242079637
0,-0.282539645
0,-0.249119706
0,-0.313922396
0,-0.28052657
0,-0.316613933
0,-0.233335464
0,-0.314375138
0,-0.23674336
1,-0.26742772
0,-0.272134659
0,-0.293650231
0,-0.27019289
0,-0.285308434
0,-0.252285332
0,-0.262450466
0,-0.253586068
0,-0.278305347
0,-0.279919215
0,-0.284937719
2,-0.257206584
2,-0.309405812
0,-0.295767395
0,-0.256149121
0,-0.265769772
0,-0.275614478
0,-0.312985816
0,-0.256035225
0,-0.291747812
0,-0.284219992
0,-0.286119712
0,-0.285405686
0,-0.248764772
0,-0.279890694
0,-0.243787184
0,-0.299183244
0,-0.288699694
0,-0.265491534
0,-0.295433113
0,-0.307143129
0,-0.25197592
0,-0.257692411
0,-0.317771381
1,-0.252550306
0,-0.313394607
0,-0.252339491
0,-0.273083319
0,-0.319527471
0,-0.285685896
0,-0.232012723
0,-0.261870581
0,-0.303456668
0,-0.289112537
0,-0.246487072
0,-0.276056144
0,-0.260405122
0,-0.279390989
0,-0.289003697
0,-0.241532897
0,-0.276920979
0,-0.267782143
0,-0.254599223
0,-0.236271041
0,-0.188093623
0,-0.252324789
0,-0.237243755
0,-0.286231628
0,-0.253520922
0,-0.279238812
0,-0.297285797
0,-0.240499161
1,-0.291982505
0,-0.25211886
0,-0.252538645
0,-0.283620601
0,-0.24838046
0,-0.229629176
0,-0.252850975
0,-0.329889406
0,-0.244610873
2,-0.278419042
0,-0.265270849
0,-0.258163667
0,-0.262002578
0,-0.244368846
0,-0.242001971
0,-0.268127799
0,-0.267569419
0,-0.254842455
2,-0.231291461
0,-0.2659147
0,-0.291171356
0,-0.27172304
0,-0.290963388
1,-0.192109033
0,-0.244760329
0,-0.26905454
0,-0.273044795
0,-0.272800746
0,-0.302327614
0,-0.220585447
0,-0.252379261
0,-0.314471071
0,-0.306185186
0,-0.285756581
0,-0.285703063
0,-0.237878024
0,-0.217887166
0,-0.292697701
0,-0.303773506
0,-0.251310966
0,-0.228323435
0,-0.286597818
0,-0.276411301
0,-0.216206283
0,-0.229498418
0,-0.284329224
0,-0.23690951
0,-0.280951016
0,-0.312884202
0,-0.303888366
0,-0.291308098
1,-0.269114539
0,-0.274408992
0,-0.278873806
1,-0.233448319
0,-0.303584205
0,-0.232356571
0,-0.286286963
1,-0.213860742
0,-0.239524096
0,-0.261476145
0,-0.271241837
0,-0.276273916
0,-0.258232242
0,-0.284829058
0,-0.267327108
0,-0.237205882
0,-0.239381323
1,-0.272237587
0,-0.228286208
0,-0.227978711
0,-0.272322396
0,-0.274404616
0,-0.271091097
0,-0.225715183
0,-0.321147765
0,-0.284307338
0,-0.198463283
0,-0.307978882
0,-0.259997682
0,-0.268931877
0,-0.252315153
1,-0.320048818
0,-0.271460042
0,-0.22780492
0,-0.272713651
0,-0.219628739
0,-0.236787877
0,-0.262839676
7,-0.262806597
0,-0.312563388
0,-0.262821737
0,-0.267225488
0,-0.284337021
0,-0.314880168
0,-0.29491122
1,-0.229172303
0,-0.309775035
0,-0.244192823
0,-0.239751689
1,-0.282609432
0,-0.242134826
0,-0.243770219
0,-0.305958157
0,-0.255435751
0,-0.277548063
0,-0.23920783
0,-0.239398774
0,-0.269603446
0,-0.278109361
0,-0.295066247
0,-0.222265923
1,-0.251216145
1,-0.22222852
0,-0.24744932
0,-0.253243674
0,-0.223111021
0,-0.233101697
0,-0.234948189
0,-0.31364435
0,-0.302214189
0,-0.287549025
0,-0.241339329
0,-0.242009983
0,-0.231656415
0,-0.324114878
0,-0.244336556
0,-0.237675384
0,-0.293527293
0,-0.258572568
1,-0.275755484
0,-0.261123032
0,-0.295297823
0,-0.242855831
0,-0.254834894
0,-0.229988085
0,-0.246196766
0,-0.258311611
0,-0.274740636
0,-0.317633082
0,-0.295700804
0,-0.256064856
0,-0.276690269
0,-0.247842889
0,-0.255901148
0,-0.304583701
0,-0.258493483
0,-0.29741119
0,-0.248394758
0,-0.252260856
5,-0.263858368
0,-0.303889679
2,-0.247073897
0,-0.280773873
0,-0.303965619
0,-0.221322764
0,-0.265102489
0,-0.276178236
0,-0.2605819
0,-0.313960372
0,-0.272576556
0,-0.310150152
0,-0.230742187
0,-0.221072045
0,-0.224405839
0,-0.265197988
0,-0.24319391
0,-0.27046953
0,-0.220560717
0,-0.27275475
0,-0.202894435
1,-0.278630945
0,-0.287311954
0,-0.256809958
0,-0.291420942
0,-0.247401051
0,-0.246241187
0,-0.300540707
0,-0.271421939
0,-0.210474279
0,-0.25508838
0,-0.275068176
0,-0.253711306
0,-0.21853656
0,-0.273349153
0,-0.258213116
0,-0.238803353
0,-0.274578236
0,-0.252129317
0,-0.267525393
0,-0.281080983
0,-0.233225658
0,-0.267792691
0,-0.259900352
0,-0.259923348
0,-0.230708645
0,-0.266493224
0,-0.250242472
1,-0.219707587
0,-0.261261054
0,-0.257258751
1,-0.261618184
0,-0.242377009
0,-0.305182932
0,-0.244208748
0,-0.258536628
0,-0.267384006
0,-0.2721906
0,-0.256992254
0,-0.273887529
0,-0.275844208
0,-0.24267796
0,-0.234999636
0,-0.195581884
0,-0.27631827
0,-0.230528847
0,-0.266240489
1,-0.302656721
0,-0.270226452
0,-0.267404415
1,-0.241160434
0,-0.294750352
0,-0.348756275
0,-0.302234995
0,-0.275095545
0,-0.1977094
0,-0.294259815
0,-0.296330403
0,-0.233487751
0,-0.255324275
0,-0.231508126
0,-0.289272254
0,-0.277144274
0,-0.314204625
0,-0.255675723
0,-0.256625842
0,-0.244829141
0,-0.287984366
0,-0.242148702
0,-0.267109414
0,-0.297105611
0,-0.262610251
0,-0.276966086
0,-0.28550693
1,-0.22710272
0,-0.277520773
0,-0.267969785
1,-0.300104764
0,-0.254841512
0,-0.2799804
0,-0.278924886
0,-0.278054172
0,-0.279473847
0,-0.280035552
0,-0.297339987
0,-0.249262974
0,-0.265561847
0,-0.232221293
0,-0.286917135
7,-0.223369988
1,-0.257134511
1,-0.267919009
0,-0.268795205
0,-0.338237443
0,-0.248761073
0,-0.267910226
0,-0.265568009
0,-0.225762354
0,-0.249110232
0,-0.26313759
0,-0.230766187
1,-0.328390255
0,-0.246300808
0,-0.279567259
1,-0.293971131
0,-0.257986141
0,-0.267201942
0,-0.30154664
0,-0.266328399
0,-0.233804382
0,-0.284673904
0,-0.245052466
0,-0.21633986
0,-0.283075342
0,-0.271447012
1,-0.312486336
0,-0.311078196
0,-0.256519523
0,-0.299693057
2,-0.274847115
0,-0.305985193
0,-0.289779846
2,-0.265360942
0,-0.243234288
0,-0.249327418
0,-0.300758643
0,-0.287999527
0,-0.232885927
0,-0.280169816
0,-0.285102527
0,-0.251634825
0,-0.204782934
0,-0.252469983
0,-0.246929524
0,-0.26572398
0,-0.247622769
0,-0.271089576
0,-0.269827443
0,-0.292320693
0,-0.258292111
0,-0.296566585
0,-0.250096132
0,-0.273253488
0,-0.285767111
1,-0.244838434
0,-0.277346963
0,-0.304830672
0,-0.255042568
0,-0.222242988
0,-0.282163388
0,-0.254409807
0,-0.255933838
0,-0.252741403
0,-0.246576946
0,-0.248760061
0,-0.271892053
0,-0.243818818
0,-0.225402029
0,-0.281359632
0,-0.283200226
1,-0.269530813
0,-0.251449756
3,-0.250132044
0,-0.250409062
0,-0.301082025
0,-0.252003936
0,-0.278450231
0,-0.327020437
0,-0.344625065
0,-0.275981286
