weight,num,max
3,18,4.36364E-11
3.01,18,4.32166E-11
3.02,18,4.27979E-11
3.03,18,4.23803E-11
3.04,18,4.19638E-11
3.05,18,4.15484E-11
3.06,18,4.1134E-11
3.07,18,4.07207E-11
3.08,18,4.03085E-11
3.09,18,3.98973E-11
3.1,18,3.94872E-11
3.11,18,3.90781E-11
3.12,18,3.86701E-11
3.13,18,3.82631E-11
3.14,18,3.78571E-11
3.15,18,3.74522E-11
3.16,18,3.70483E-11
3.17,18,3.66455E-11
3.18,18,3.62437E-11
3.19,18,3.58428E-11
3.2,18,3.5443E-11
3.21,18,3.50442E-11
3.22,18,3.46465E-11
3.23,18,3.42497E-11
3.24,18,3.38539E-11
3.25,18,3.34591E-11
3.26,18,3.30653E-11
3.27,18,3.26725E-11
3.28,14,3.22807E-11
3.29,14,3.18899E-11
3.3,14,3.15E-11
3.31,8,3.11111E-11
3.32,8,3.07232E-11
3.33,8,3.03362E-11
3.34,8,2.99502E-11
3.35,8,2.95652E-11
3.36,8,2.91811E-11
3.37,8,2.8798E-11
3.38,8,2.84158E-11
3.39,8,2.80346E-11
3.4,8,2.76543E-11
3.41,8,2.7275E-11
3.42,8,2.68966E-11
3.43,8,2.65191E-11
3.44,8,2.61425E-11
3.45,8,2.57669E-11
3.46,8,2.53922E-11
3.47,8,2.50184E-11
3.48,8,2.46455E-11
3.49,8,2.42735E-11
3.5,8,2.39024E-11
3.51,8,2.35323E-11
3.52,8,2.3163E-11
3.53,8,2.27947E-11
3.54,8,2.24272E-11
3.55,8,2.20606E-11
3.56,8,2.16949E-11
3.57,6,2.13301E-11
3.58,6,2.09662E-11
3.59,6,2.06031E-11
3.6,6,2.0241E-11
3.61,6,1.98797E-11
3.62,6,1.95192E-11
3.63,6,1.91597E-11
3.64,6,1.8801E-11
3.65,6,1.84431E-11
3.66,6,1.80861E-11
3.67,6,1.773E-11
3.68,6,1.73747E-11
3.69,6,1.70203E-11
3.7,6,1.66667E-11
3.71,2,1.63139E-11
3.72,2,1.5962E-11
3.73,2,1.56109E-11
3.74,2,1.52607E-11
3.75,2,1.49112E-11
3.76,2,1.45626E-11
3.77,2,1.42149E-11
3.78,2,1.38679E-11
3.79,2,1.35218E-11
3.8,2,1.31765E-11
3.81,2,1.2832E-11
3.82,2,1.24883E-11
3.83,2,1.21454E-11
3.84,2,1.18033E-11
3.85,2,1.1462E-11
3.86,2,1.11215E-11
3.87,2,1.07818E-11
3.88,2,1.04429E-11
3.89,2,1.01048E-11
3.9,2,9.76744E-12
3.91,2,9.43089E-12
3.92,2,9.09513E-12
3.93,2,8.76014E-12
3.94,2,8.42593E-12
3.95,2,8.09249E-12
3.96,2,7.75982E-12
3.97,2,7.42791E-12
3.98,2,7.09677E-12
3.99,2,6.7664E-12
4,2,6.43678E-12
4.01,2,6.10792E-12
4.02,2,5.77982E-12
4.03,2,5.45246E-12
4.04,2,5.12586E-12
