weight,num,max
25.9,24,2.07E-11
26,24,2.06E-11
26.1,24,2.05E-11
26.2,24,2.05E-11
26.3,24,2.04E-11
26.4,24,2.03E-11
26.5,24,2.02E-11
26.6,24,2.01E-11
26.7,24,2E-11
26.8,24,1.99E-11
26.9,24,1.98E-11
27,24,1.97E-11
27.1,24,1.96E-11
27.2,24,1.96E-11
27.3,24,1.95E-11
27.4,24,1.94E-11
27.5,20,1.93E-11
27.6,20,1.92E-11
27.7,20,1.91E-11
27.8,20,1.91E-11
27.9,20,1.9E-11
28,20,1.89E-11
28.1,20,1.88E-11
28.2,20,1.87E-11
28.3,20,1.86E-11
28.4,20,1.86E-11
28.5,20,1.85E-11
28.6,18,1.84E-11
28.7,18,1.83E-11
28.8,18,1.82E-11
28.9,18,1.82E-11
29,18,1.81E-11
29.1,18,1.8E-11
29.2,18,1.79E-11
29.3,18,1.79E-11
29.4,18,1.78E-11
29.5,18,1.77E-11
29.6,18,1.76E-11
29.7,18,1.76E-11
29.8,18,1.75E-11
29.9,18,1.74E-11
30,18,1.73E-11
30.1,18,1.73E-11
30.2,18,1.72E-11
30.3,18,1.71E-11
30.4,18,1.7E-11
30.5,18,1.7E-11
30.6,18,1.69E-11
30.7,18,1.68E-11
30.8,18,1.68E-11
30.9,18,1.67E-11
31,18,1.66E-11
31.1,18,1.66E-11
31.2,18,1.65E-11
31.3,18,1.64E-11
31.4,18,1.64E-11
31.5,18,1.63E-11
31.6,18,1.62E-11
31.7,18,1.62E-11
31.8,18,1.61E-11
31.9,18,1.6E-11
32,16,1.6E-11
32.1,16,1.59E-11
32.2,16,1.58E-11
32.3,16,1.58E-11
32.4,16,1.57E-11
32.5,16,1.56E-11
32.6,16,1.56E-11
32.7,14,1.55E-11
32.8,14,1.54E-11
32.9,14,1.54E-11
33,14,1.53E-11
33.1,14,1.53E-11
33.2,14,1.52E-11
33.3,14,1.51E-11
33.4,14,1.51E-11
33.5,14,1.5E-11
33.6,14,1.5E-11
33.7,14,1.49E-11
33.8,12,1.48E-11
33.9,12,1.48E-11
34,12,1.47E-11
34.1,12,1.47E-11
34.2,12,1.46E-11
34.3,12,1.45E-11
34.4,12,1.45E-11
34.5,12,1.44E-11
34.6,12,1.44E-11
34.7,12,1.43E-11
34.8,12,1.43E-11
34.9,12,1.42E-11
35,12,1.41E-11
35.1,12,1.41E-11
35.2,12,1.4E-11
35.3,12,1.4E-11
35.4,12,1.39E-11
35.5,12,1.39E-11
35.6,12,1.38E-11
35.7,12,1.38E-11
35.8,12,1.37E-11
35.9,12,1.37E-11
36,12,1.36E-11
36.1,12,1.35E-11
36.2,12,1.35E-11
36.3,12,1.34E-11
36.4,12,1.34E-11
36.5,12,1.33E-11
36.6,12,1.33E-11
36.7,12,1.32E-11
36.8,12,1.32E-11
36.9,12,1.31E-11
37,12,1.31E-11
37.1,12,1.3E-11
37.2,12,1.3E-11
37.3,12,1.29E-11
37.4,12,1.29E-11
37.5,12,1.28E-11
37.6,12,1.28E-11
37.7,12,1.27E-11
37.8,12,1.27E-11
37.9,12,1.26E-11
38,12,1.26E-11
38.1,12,1.25E-11
38.2,12,1.25E-11
38.3,12,1.24E-11
38.4,12,1.24E-11
38.5,12,1.24E-11
38.6,12,1.23E-11
38.7,12,1.23E-11
38.8,12,1.22E-11
38.9,12,1.22E-11
39,12,1.21E-11
39.1,12,1.21E-11
39.2,12,1.2E-11
39.3,12,1.2E-11
39.4,12,1.19E-11
39.5,12,1.19E-11
39.6,12,1.18E-11
39.7,12,1.18E-11
39.8,12,1.18E-11
39.9,12,1.17E-11
40,12,1.17E-11
40.1,12,1.16E-11
40.2,12,1.16E-11
40.3,12,1.15E-11
40.4,12,1.15E-11
40.5,12,1.15E-11
40.6,12,1.14E-11
40.7,12,1.14E-11
40.8,12,1.13E-11
40.9,12,1.13E-11
41,12,1.12E-11
41.1,12,1.12E-11
41.2,12,1.12E-11
41.3,12,1.11E-11
41.4,12,1.11E-11
41.5,12,1.1E-11
41.6,12,1.1E-11
41.7,12,1.09E-11
41.8,12,1.09E-11
41.9,12,1.09E-11
42,12,1.08E-11
42.1,12,1.08E-11
42.2,12,1.07E-11
42.3,12,1.07E-11
42.4,12,1.07E-11
42.5,12,1.06E-11
42.6,12,1.06E-11
42.7,12,1.05E-11
42.8,12,1.05E-11
42.9,12,1.05E-11
43,12,1.04E-11
43.1,12,1.04E-11
43.2,12,1.04E-11
43.3,12,1.03E-11
43.4,12,1.03E-11
43.5,12,1.02E-11
43.6,12,1.02E-11
43.7,12,1.02E-11
43.8,12,1.01E-11
43.9,12,1.01E-11
44,12,1.01E-11
44.1,12,1E-11
44.2,12,9.98E-12
44.3,12,9.94E-12
44.4,12,9.91E-12
44.5,12,9.87E-12
44.6,12,9.83E-12
44.7,12,9.8E-12
44.8,12,9.76E-12
44.9,12,9.73E-12
45,12,9.69E-12
45.1,12,9.65E-12
45.2,12,9.62E-12
45.3,12,9.58E-12
45.4,12,9.55E-12
45.5,12,9.51E-12
45.6,12,9.48E-12
45.7,12,9.44E-12
45.8,12,9.41E-12
45.9,12,9.38E-12
46,12,9.34E-12
46.1,12,9.31E-12
46.2,12,9.27E-12
46.3,12,9.24E-12
46.4,12,9.21E-12
46.5,12,9.17E-12
46.6,12,9.14E-12
46.7,12,9.11E-12
46.8,12,9.07E-12
46.9,12,9.04E-12
47,12,9.01E-12
47.1,12,8.97E-12
47.2,12,8.94E-12
47.3,12,8.91E-12
47.4,12,8.88E-12
47.5,12,8.84E-12
47.6,12,8.81E-12
47.7,12,8.78E-12
47.8,12,8.75E-12
47.9,12,8.71E-12
48,12,8.68E-12
48.1,12,8.65E-12
48.2,12,8.62E-12
