num,fit
0,-7.146745408
0,-7.121821696
0,-7.135801078
0,-7.136823758
0,-7.213417573
0,-7.146935098
0,-7.168427882
0,-7.148287676
0,-7.213475305
0,-7.142497985
0,-7.103273243
0,-7.09371448
0,-7.155504171
0,-7.135834067
0,-7.087355717
0,-7.131487676
0,-7.204122727
0,-7.088469119
0,-7.095141284
0,-7.167495923
0,-7.100535098
0,-7.117541284
0,-7.148188707
0,-7.161524789
0,-7.131190769
0,-7.255190769
0,-6.962027882
0,-7.128815511
0,-7.047636129
0,-7.134093861
0,-7.143990769
0,-7.121805202
0,-7.12974747
0,-7.129887676
0,-7.191380459
0,-7.16197015
0,-7.123042315
0,-7.171141284
0,-7.107108294
0,-7.107207263
0,-7.13102582
0,-7.159199016
0,-7.155644377
0,-7.19793716
0,-7.092716542
0,-7.125722727
0,-7.136477366
0,-7.15502582
0,-7.173854686
0,-7.074852624
0,-7.214563964
0,-7.122720665
0,-7.080873243
0,-7.192691799
0,-7.199454686
0,-7.130118604
0,-7.169013449
0,-7.073310356
0,-7.163660872
0,-7.211075305
0,-7.174357779
0,-7.112188707
0,-7.073994892
0,-7.135545408
0,-7.1608485
0,-7.158135098
0,-7.221928913
0,-7.087001078
0,-7.128172212
0,-7.087520665
0,-7.138753655
0,-7.161739222
0,-7.213912418
0,-7.115190769
0,-7.176155717
0,-7.247240253
0,-7.0984485
0,-7.129409325
0,-7.16520314
0,-7.123809325
0,-7.136444377
0,-7.077450562
0,-7.191619634
0,-7.166728913
0,-7.049739222
0,-7.191751593
0,-7.113829944
0,-7.144766026
0,-7.144213449
0,-7.092436129
0,-7.152790769
0,-7.185194892
0,-7.096469119
0,-7.071578397
0,-7.18968149
0,-7.094250562
0,-7.13211448
0,-7.102852624
0,-7.145846439
0,-7.158836129
0,-7.209524789
0,-7.19713716
0,-7.120246439
0,-7.090085614
0,-7.153079428
0,-7.175306232
0,-7.196700047
0,-7.046943346
0,-7.092073243
0,-7.122572212
0,-7.118250562
0,-7.134234067
0,-7.055883552
0,-7.043900047
0,-7.157227882
0,-7.143875305
0,-7.121194892
0,-7.096015511
0,-7.069904171
0,-6.986011387
0,-7.172411387
0,-7.112733037
0,-7.075487676
0,-7.054011387
0,-7.21233716
0,-7.101640253
0,-7.177755717
0,-7.142704171
0,-7.066976336
0,-7.146877366
0,-7.098497985
0,-7.150176336
0,-7.152172212
0,-7.081632006
0,-7.051504171
0,-7.056963964
0,-7.17774747
0,-7.117821696
0,-7.153912418
0,-7.119421696
0,-7.224650562
0,-7.14280314
0,-7.108007263
0,-7.14088149
0,-7.120691799
0,-7.181838191
0,-7.127900047
0,-7.183924789
0,-7.164996954
0,-7.057260872
0,-7.111834067
0,-7.130902109
0,-7.111809325
0,-7.044213449
0,-7.158984583
0,-7.097796954
0,-7.152634067
0,-7.126629944
0,-7.196675305
0,-7.111743346
0,-7.216419634
0,-7.08865881
0,-7.141871181
0,-7.10065881
0,-7.169062933
0,-7.158827882
0,-7.107883552
0,-7.163768088
0,-7.224774274
0,-7.11614747
0,-7.178143346
0,-7.159240253
0,-7.081046439
0,-7.065269119
0,-7.081054686
0,-7.078349531
0,-7.179108294
