num,fit
0,-0.221389544
0,-0.266770364
0,-0.24831301
0,-0.233468759
0,-0.240457929
0,-0.280708339
0,-0.241829237
0,-0.230537798
0,-0.243486611
0,-0.201522169
0,-0.2203379
0,-0.226509691
0,-0.231060096
0,-0.226177845
0,-0.248429865
0,-0.260227724
1,-0.242151422
0,-0.179815794
0,-0.247466219
0,-0.204248136
0,-0.256307012
0,-0.195058365
0,-0.23066478
0,-0.283719109
0,-0.225239654
0,-0.220765075
0,-0.260643475
0,-0.209833972
0,-0.283972976
0,-0.240256224
0,-0.223387654
0,-0.218789838
1,-0.278093464
0,-0.27572754
0,-0.252918154
0,-0.222778955
0,-0.233726986
0,-0.234648621
0,-0.221999714
0,-0.224954662
0,-0.248360715
0,-0.184519136
0,-0.220236446
0,-0.200638937
0,-0.287375591
0,-0.278361316
0,-0.230821472
0,-0.222048231
0,-0.253703457
0,-0.262128785
0,-0.214863366
0,-0.240508881
0,-0.239521297
0,-0.209114141
0,-0.245182853
0,-0.252812138
0,-0.207613509
0,-0.203719474
0,-0.258842362
0,-0.330304912
0,-0.215587735
0,-0.270292214
0,-0.248947232
0,-0.223922881
0,-0.206413572
0,-0.243105115
0,-0.291177381
0,-0.247420341
0,-0.273097214
0,-0.227328132
0,-0.273199324
0,-0.227821834
0,-0.220170736
0,-0.248253847
0,-0.293481816
0,-0.241095572
0,-0.23488928
0,-0.20713274
0,-0.260064049
0,-0.169229039
0,-0.257055493
0,-0.211880498
0,-0.231558432
0,-0.271220289
0,-0.207228443
0,-0.189099176
0,-0.216876428
0,-0.195174521
0,-0.204292186
0,-0.245488474
0,-0.216195751
0,-0.250788813
0,-0.20821194
0,-0.238340449
0,-0.259891926
0,-0.264129897
0,-0.282998059
0,-0.211727029
0,-0.220958206
0,-0.207638545
